roa;endividamento
0,0283;0,5687
0,0131;0,5943
0,0236;0,627
0,0163;0,687
0,0193;0,6747
0,0298;0,6771
0,0375;0,6785
0,0355;0,6601
0,0407;0,6315
0,0102;0,6257
0,0234;0,706
0,0298;0,6962
0,0219;0,6769
0,0189;0,7023
0,004;0,4364
0,0139;0,4792
0,0046;0,4521
0,01;0,4242
0,0121;0,3924
0,0203;0,3987
0,02;0,391
0,0144;0,3844
0,0139;0,4399
0,0336;0,449
0,019;0,4469
0,0129;0,4773
0,0172;0,4977
0,0329;0,4993
0,0221;0,4859
0,0119;0,492
0,0275;0,5194
0,0263;0,5328
0,0387;0,4702
0,0347;0,4574
0,0311;0,4514
0,044;0,444
0,0411;0,4302
0,0372;0,4116
0,0426;0,433
0,0612;0,4244
0,0505;0,4164
0,0441;0,402
0,0377;0,4421
0,0664;0,4402
0,0516;0,3989
0,0403;0,4264
0,0513;0,4185
0,0699;0,4475
0,0488;0,3895
0,0377;0,3703
0,0451;0,3786
0,0687;0,3593
0,041;0,3664
0,0352;0,334
0,0444;0,3302
0,0646;0,395
0,0395;0,386
0,0348;0,383
0,0348;0,4287
0,0472;0,4418
0,0361;0,3891
0,0283;0,3991
0,0402;0,3785
0,0577;0,4436
0,0284;0,397
0,0253;0,4088
0,0016;0,4105
0,038;0,4475
0,0315;0,3959
0,0267;0,4122
0,0302;0,3727
0,0368;0,3886
0,0284;0,3758
0,0265;0,3627
0,0254;0,346
0,0415;0,3852
0,0107;0,3657
0,0105;0,3778
0,0186;0,3737
0,055;0,3997
0,0205;0,3732
0,0235;0,3563
0,0275;0,3476
